entity,code,month,_2025,_2024,_2023,_2022,_2021,_2020,_2019,_2018,_2017,_2016,_2015,_2014,_2013,_2012,_2011,_2010,_2009,_2008,_2007,_2006,_2005,_2004,_2003,_2002,_2001,_2000,_1999,_1998,_1997,_1996,_1995,_1994,_1993,_1992,_1991,_1990,_1989,_1988,_1987,_1986,_1985,_1984,_1983,_1982,_1981,_1980,_1979
Albania,ALB,9,1.6224823,0.61530876,2.4855595,0.14382744,0.4589901,2.1418362,1.2916622,0.9934597,-0.49131012,-0.25663567,1.9674702,-0.79276466,-0.20940971,1.6762276,2.8595352,-0.7708092,0.71528053,-1.1009846,-1.5164146,-0.05693817,-0.18684006,-0.38662148,-0.7556782,-2.1691933,-1.1871014,-0.4230957,0.899168,-0.65130043,0.4950981,-2.7989616,-1.613924,2.1178837,-0.28448868,0.08582497,0.40906715,-0.91366005,-0.5508766,0.034719467,3.1854725,0.7420635,0.7745533,-0.76908493,-0.57551765,1.9006405,-0.31093216,-0.047403336,-0.7187729
Albania,ALB,10,-1.0867004,1.0815239,2.9700375,0.6743841,-1.4691257,0.071172714,1.6679811,1.7071695,-0.833725,0.0063028336,0.5334883,-0.033895493,0.46185398,1.5179644,-1.588275,-1.4068689,-0.89340305,-0.13000202,-0.8076744,0.36322594,-1.124095,1.1956921,-0.65502834,-0.9069042,0.9671602,0.4321785,0.8338442,0.33681107,-2.326538,-1.3394299,-0.9753599,0.5093794,1.5867481,1.167553,-0.33734608,1.2347422,-1.6601067,-0.40069294,0.25930882,0.062018394,-0.5544214,1.3005972,-1.3292418,0.28724003,0.61829853,0.024335861,-0.3943863
Albania,ALB,11,1.7152052,-0.61039734,1.2844286,1.6885881,2.0241375,0.07797432,2.865264,1.3452711,-0.36169815,-0.20448875,1.2730265,1.5352173,1.2160463,1.880662,-1.9997582,2.3751516,0.17974949,0.73508835,-1.9288077,-2.463894,-1.9437323,-0.98959494,1.1605511,0.80478287,-1.5088348,1.9778214,-0.16144943,-1.6569548,0.096609116,0.5739403,-3.4759097,-0.24020576,-1.4130011,0.34670448,-0.095526695,1.080615,-1.2534413,-4.8337135,0.30806828,-1.4401088,0.6778326,0.35759068,-1.4046831,-1.2748361,-4.19817,0.8617525,-0.33418083
Albania,ALB,12,1.8119211,1.0490398,2.4363265,3.9229245,0.2546401,3.050187,2.0086799,-0.22027206,0.4669714,-1.6949291,0.1784873,1.2242665,-0.3474121,-1.0006626,0.2582035,0.533226,2.5514278,0.6306505,-1.7209697,-0.16365576,-0.5635762,1.4199638,-0.39599895,0.76409626,-4.9977007,1.2047615,1.3851781,-3.1337109,0.37950468,0.89596987,2.1358476,-0.4547813,1.6927075,-1.618088,-4.468381,-1.1395988,-0.29576445,-1.7166545,1.0919929,-2.4901836,1.9060979,-0.11873579,0.054042816,1.5180535,0.65110683,-1.8399038,1.5830431
Algeria,DZA,1,1.228858,2.6240778,0.30504322,-0.39330578,2.3919287,0.22346592,-0.80589294,1.5983162,-1.657795,2.373252,-0.59959316,1.5233212,0.11607838,-1.1299334,1.7086926,2.2451515,0.15828705,-0.65842533,1.1954241,-1.3210602,-1.864419,0.5253849,0.27518177,-0.42269802,0.5279932,-1.4206953,-0.5075159,0.79825115,1.4095306,2.392702,-1.8603258,-0.34153175,-1.6940365,-1.8567877,-0.93032646,-0.41424847,-1.5603647,0.77880096,-0.28561306,-0.7790327,-0.9879637,-1.0106382,-2.2268448,0.025014877,-2.714078,-0.0020742416,3.144168
Algeria,DZA,2,0.61543655,1.767415,0.43010235,1.4016924,2.2482557,2.3599157,-1.3102179,-0.15602016,2.4123755,1.7473898,-0.31833267,0.75174236,-0.9038248,-3.077448,-0.8052988,4.213519,0.33472538,0.7680731,1.917182,-0.57171726,-1.6459894,1.597888,-0.9597111,0.26264286,-0.9415579,-1.0892487,-2.6055813,0.9542694,0.22003174,-0.43684483,0.5909939,-0.691864,-1.2993202,0.04506588,-1.3628464,0.7266617,-0.7342262,0.9451189,0.30055332,0.5788975,1.8462458,-1.5918016,-0.10513401,-0.84280014,-1.6132145,0.25409603,0.18457317
Algeria,DZA,3,2.4071999,2.0007305,2.5963097,0.29802704,-0.15899086,0.89954567,-0.022285461,1.1852379,1.1289406,-0.9117813,-1.5921192,-0.8269615,1.9469242,-1.02071,0.7780819,2.3897114,0.40736008,0.5977249,-1.1571808,0.91152763,1.018858,0.17376328,-0.15834999,0.59376335,2.9045086,0.37119865,-0.40377235,-1.5653114,-1.871872,-0.24588776,-1.3802071,0.3150978,-1.4280434,-2.0963478,-0.9413872,0.2919445,-0.5102787,-0.9645977,0.19740295,-1.821373,-1.6484642,-1.3943958,-0.8969593,-1.0602589,1.1184387,-1.0732155,-0.72527695
Algeria,DZA,4,1.2116127,1.1096897,1.4076042,-0.09313393,1.9848728,1.4241791,-0.50198746,0.7356224,0.8373928,2.6358986,1.4985981,0.99910736,0.44325447,-0.58647156,0.5626831,2.3241596,-1.7584801,0.36940575,-0.3975582,2.148386,0.81061745,-0.48548126,-0.05402565,-0.9109211,-0.8730793,0.8867569,1.0945377,1.1490688,-1.8595161,-1.0025711,-2.0471764,-2.2746696,-0.86392593,-2.3630924,-1.9407234,-0.9931259,-1.5399742,0.6815872,0.21747589,-1.0533772,-1.3482361,0.16020393,-0.004501343,-2.227377,0.18855286,-0.6666279,-2.838705
Algeria,DZA,5,0.8433399,1.7970085,-0.5877209,0.10810661,2.5667953,1.3473225,0.4168396,-0.24145508,2.7081566,1.2208538,1.3368683,0.8185291,-0.22836876,0.674963,-0.47509956,-0.29132462,-0.3728485,-0.14725494,-0.87008476,0.85287094,2.0661564,-2.5814724,0.48608208,0.30475998,-0.5744629,0.5281162,1.5150719,-1.325819,-0.5681515,-0.6769161,0.5864105,0.3132496,-1.0999088,-2.5930977,-3.129963,-1.2970562,-1.1091557,-0.15893173,0.40003014,0.014755249,-2.227766,-2.259777,0.07512283,-1.5868816,-0.5235367,-1.8550282,-1.7637749
Algeria,DZA,6,0.91793823,2.4031868,0.22491074,1.8687363,2.1329803,1.027977,0.8200073,0.24335861,0.53790283,0.93987274,-0.054359436,-0.39479828,-0.16611099,1.5487366,-0.6134262,0.2583542,0.35269928,0.002506256,0.08237076,-0.16302872,-0.22664642,-0.46857262,0.19468689,-0.06481552,0.6465225,-0.677639,1.0183792,-0.18700027,0.30171967,-1.9072075,-0.6473713,0.16345978,0.80223083,-2.3914356,-0.9783497,0.5216408,-1.2243347,-0.33319855,-0.034275055,-1.4599571,0.23962402,-0.7883129,-0.9442501,-0.24796677,-0.24974442,-0.35168457,-1.4451752
