region,Country,Glacier,RGI_Glacier_Area,Longitude,Latitude,Date,Date_Min,Date_Max,year
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2008-08-18,,,2008
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2009-07-21,,,2009
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2010-07-28,,,2010
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2011-07-06,,,2011
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2011-07-28,,,2011
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2012-07-29,,,2012
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2012-08-18,,,2012
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2013-07-03,,,2013
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2014-07-15,,,2014
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2015-07-01,,,2015
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2016-06-01,,,2016
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2017-05-29,,,2017
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2017-07-11,,,2017
RGI60_01_Alaska,Canada,Tulsequah Glacier,148.734,-133.862658,58.878526,2018-07-01,,,2018
